,住所CD,都道府県CD,市区町村CD,町域CD,郵便番号,事業所フラグ,廃止フラグ,都道府県,都道府県カナ,市区町村,市区町村カナ,町域,町域カナ,町域補足,京都通り名,字丁目,字丁目カナ,補足,事業所名,事業所名カナ,事業所住所,新住所CD,住所,lat,lonn
46595,160835100,13,13104,131040045,160-8351,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,野村不動産パートナーズ　株式会社,ノムラフドウサンパ－トナ－ズ　カブシキガイシヤ,新宿５－１４－６長府新宿ビル,,東京都新宿区新宿５－１４－６長府新宿ビル,35.694705,
46596,160841500,13,13104,131040045,160-8415,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,ネッツトヨタ東京　株式会社,ネツツトヨタ　カブシキガイシヤ,新宿７丁目２７－１９,,東京都新宿区新宿７丁目２７－１９,35.699853,
46597,160801100,13,13104,131040045,160-8011,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,株式会社　三越伊勢丹　伊勢丹新宿店,カブシキガイシヤ　ミツコシイセタン　イセタンシンジユクテン,新宿３－１４－１,,東京都新宿区新宿３－１４－１,35.691574,
46598,160842000,13,13104,131040045,160-8420,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,株式会社　マースエンジニアリング,カブシキガイシヤ　マ－スエンジニアリング,新宿１丁目１０－７,,東京都新宿区新宿１丁目１０－７,35.688326,
46599,160844100,13,13104,131040045,160-8441,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,廣告社　株式会社,コウコクシヤ　カブシキガイシヤ,新宿３丁目１番２４号京王新宿三丁目ビル,,東京都新宿区新宿３丁目１番２４号京王新宿三丁目ビル,35.6902,
46600,160880102,13,13104,131040045,160-8801,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,セイコーエプソン　株式会社,セイコ－エプソン　カブシキカイシヤ,新宿４丁目１番６号ＪＲ新宿ミライナタワー２９階,,東京都新宿区新宿４丁目１番６号ＪＲ新宿ミライナタワー２９階,35.688737,
46601,163863900,13,13104,131040045,163-8639,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,大正薬化工業,タイセイヤツカコウギヨウ,新宿３丁目１０－８,,東京都新宿区新宿３丁目１０－８,35.691388,
46602,163866100,13,13104,131040045,163-8661,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,株式会社　実務教育出版,カブシキガイシヤ　ジツムキヨウイクシユツパン,新宿１丁目１－１２,,東京都新宿区新宿１丁目１－１２,35.687769,
46603,163867100,13,13104,131040045,163-8671,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,株式会社　実務教育出版,カブシキガイシヤ　ジツムキヨウイクシユツパン,新宿１丁目１－１２,,東京都新宿区新宿１丁目１－１２,35.687769,
46604,160881200,13,13104,131040045,160-8812,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,シティグループ・サービス・ジャパン　株式会社,シテイグル－プ・サ－ビス・ジヤパン　カブシキガイシヤ,新宿６－２７－３０新宿イーストサイドスクエア,,東京都新宿区新宿６－２７－３０新宿イーストサイドスクエア,35.696756,
